Player,Club,Year,Kicks,Handballs,Disp_eff,Marks,Frees_Agst,Goals,Behinds,Goal_assists,Time_On_Ground
Aasta O'Connor,WB,2017,2.3,3.5,65.2,1,0.8,0.3,0,0.3,73.6
Abbey Holmes,ADEL,2017,4.4,4.8,52.1,1.1,0.3,0.3,0.3,0.3,64.5
Aimee Schmidt,GWS,2017,3,2.4,55.3,2.1,0.4,0.4,0,0,82.4
Ainslie Kemp,MELB,2017,5.3,2.3,50,2,0.5,0,0.5,0.3,63.7
Akec Makur Chuot,FRE,2017,4.8,1.3,48.6,0.3,0.3,0,0,0,64.9
Alex Williams,GWS,2017,6.7,2.9,59.7,0.9,0.1,0,0.1,0.1,88.6
Alexandra Anderson,BL,2017,3.6,3.6,56.9,0.8,0.6,0,0.1,0,57.5
Alexandra Saundry,GWS,2017,1.8,1.3,33.3,0.5,1.3,0,0,0,56.2
Alicia Eva,COLL,2017,9,2.3,50.6,2.3,0.7,0.4,0.1,0,84.9
Alicia Janz,FRE,2017,1.3,3,61.5,0.3,0.3,0,0,0,72.3
Aliesha Newman,MELB,2017,3.8,1.8,50,1.5,0.5,0.5,0.5,0,50.9
Alison Brown,CARL,2017,2.1,1.6,65.4,0.9,0,0,0.1,0,47.9
Alison Downie,CARL,2017,4.7,2.4,68,2.1,0.9,0.3,0,0,78.6
Alyssa Mifsud,MELB,2017,4,1.9,63.4,1.4,0.9,1.3,0.4,0.3,66
Amanda Farrugia,GWS,2017,7,2,52.4,2,0.7,0,0,0,92.2
Amelia Barden,COLL,2017,5.1,4.1,47.7,1.1,0.7,0,0.1,0,69.5
Amy Lavell,FRE,2017,4.9,3,54.5,2,0.1,0.3,0.4,0.4,81.2
Angela Foley,ADEL,2017,7,2.8,48.7,2,0.9,0.1,0,0,80.9
Angelica Gogos,WB,2017,3.9,3.9,61.1,0.3,0.1,0.1,0.3,0,70.6
Anne Hatchard,ADEL,2017,2.9,3.1,66.7,1.3,0.4,0,0,0,67.1
Ashleigh Guest,GWS,2017,6.6,3.1,63.2,1.9,0.6,0,0,0.1,79.5
Ashley Sharp,FRE,2017,2.1,2.3,71,0.6,0.7,0.6,0.4,0.1,77.3
Bailey Hunt,WB,2017,2,3.3,73,0.6,0.6,0,0,0,90.3
Beatrice Devlyn,FRE,2017,3,0,16.7,0,0,0,0,0,46.9
Belinda Smith,FRE,2017,6.3,3.1,60.6,1.9,0.1,0,0,0.1,61.8
Bianca Jakobsson,CARL,2017,5.3,3.7,46,3.7,0.6,0.6,0.4,0.3,90.5
Breann Moody,CARL,2017,3.4,1.4,50,0.1,0.3,0.1,0,0,53.6
Breanna Koenen,BL,2017,4.3,2.1,56.9,1.6,0.3,0,0,0,64.3
Bree White,COLL,2017,4.6,4,55,0.9,0.3,0.1,0,0,60.4
Brianna Davey,CARL,2017,9.7,9.3,67.5,3.8,1.5,0.2,0,0,94.7
Brianna Green,FRE,2017,2.5,3,72.7,1,1.5,0,0,0,50.8
Britt Tully,GWS,2017,7.6,2.7,48.6,0.7,0.4,0,0.3,0,62.5
Brittany Bonnici,COLL,2017,6.6,2.6,43.8,1.1,0.7,0,0,0,53.5
Brittany Gibson,BL,2017,5.8,3.4,63,1.8,1,0.3,0.4,0,78.3
Brooke Lochland,WB,2017,6.7,2.4,39.1,1,1.1,0.1,0.3,0,79.8
Brooke Patterson,MELB,2017,5.8,3.8,65.8,2,0,0,0,0,66.3
Brooke Whyte,FRE,2017,4.8,1.8,42.3,1.5,0.5,0,0,0,53.7
Caitlin Collins,BL,2017,0,0,0,0,0,0,0,0,0
Caitlyn Edwards,COLL,2017,5.3,2.7,62.5,1.4,1,0.3,0.3,0,69.5
Cassie Davidson,FRE,2017,5.3,0.7,57.1,2,0.4,0,0,0,78.4
Catherine Phillips,MELB,2017,6.6,4.7,64.6,2.4,1.4,0.7,0.3,0,90.4
Cecilia McIntosh,COLL,2017,3.5,2.8,65.8,1,0.7,0.2,0,0,80.9
Chelsea Randall,ADEL,2017,10.6,3.5,60.2,3,1.1,0.3,0.3,0.1,97.1
Christina Bernardi,COLL,2017,5.8,1.2,45.2,2.2,0.2,0.3,0.5,0.3,76.1
Clare Lawton,GWS,2017,2.4,1.4,51.9,0.7,0.6,0,0,0,59.2
Codie Briggs,GWS,2017,0.3,1,75,0,0.3,0,0,0,41.8
Courtney Clarkson,WB,2017,2,1.2,52.6,0.7,0.5,0.2,0,0,32.3
Courtney Cramey,ADEL,2017,7.5,1.3,67.1,2,0.4,0,0.3,0.1,68.5
Daisy Pearce,MELB,2017,11.3,10.6,63.4,2.3,0.7,0.1,0.1,0.7,89.4
Dana Hooker,FRE,2017,12.4,4.9,52.1,2.7,0.7,0,0.1,0,91.1
Danielle Hardiman,CARL,2017,8.7,2,57.8,2.5,0.3,0,0,0,88.1
Darcy Vescio,CARL,2017,5.6,1.6,64,1.9,0.6,2,0.6,0.3,99.2
Dayna Cox,ADEL,2017,5.5,2.8,57.6,1.1,0.5,0,0,0,75.8
Deanna Berry,MELB,2017,6.1,0.9,49,1.6,0.6,0.7,0.7,0.3,65.6
Delissa Kimmince,BL,2017,7,0,71.4,3,0,0,0,0,67.3
Demi Okely,FRE,2017,2.6,0.6,31.8,0.7,1.1,0,0.1,0,54.8
Deni Varnhagen,ADEL,2017,7.1,2.1,50,2.1,0.5,0.3,0,0,69.4
Ebony Antonio,FRE,2017,7.5,4.2,58.6,3.2,0.3,0.3,0.2,0.3,96.9
Ebony Marinoff,ADEL,2017,12.1,3.9,53.9,2.4,2,0,0.3,0.1,80.1
Elise O'Dea,MELB,2017,11.7,7.6,60,2.9,1.4,0.1,0.1,0.6,80.3
Elise Strachan,MELB,2017,2,0,50,1,0,0,0,0,48.3
Ella Ross,GWS,2017,2.9,2.3,55.6,0.4,0.9,0,0,0.1,43.4
Ellie Blackburn,WB,2017,14.4,5,54.4,2.4,1.1,0.9,1.7,0,95.5
Ellie Brush,GWS,2017,5.8,1.8,52.2,1.3,0.3,0.2,0.2,0.3,88.4
