Name,math_m,math_f,read_m,read_f,science_m,science_f,mathgap,readgap,sciencegap
Albania,406.4037857192918,417.0405817293407,377.3081541098824,432.373914912188,415.23723626613497,439.36946269421895,-10.636796010048897,-55.06576080230559,-24.132226428083982
Algeria,356.8114480570598,362.53184451813644,333.9960108235815,363.90017735067426,369.96795868194783,384.5835523843967,-5.720396461076632,-29.90416652709274,-14.615593702448848
Argentina,469.23795285039,446.8685077324535,464.57614063151294,482.9518126201681,483.912638418563,468.9941048019742,22.369445117936493,-18.375671988655142,14.918533616588832
Australia,496.56992164510814,491.18202316794856,486.9064278531101,518.4505624162366,511.4427223513378,509.00749165966045,5.387898477159581,-31.544134563126534,2.4352306916773614
Austria,508.7812269199052,482.5953407235173,473.94588872341,497.4345149250874,503.99870441065804,485.12981642229465,26.185886196387855,-23.48862620167739,18.868887988363383
Belgium,514.9897072480073,499.4891824266938,492.71252774022435,506.10086831527786,507.9733916659623,495.4400513475957,15.500524821313547,-13.388340575053519,12.533340318366584
Brazil,385.8810465706016,369.22082186599766,395.18048480188725,420.28256030447966,402.7646195393587,399.4850535131158,16.660224704603934,-25.102075502592413,3.2795660262428896
Bulgaria,440.83423364567915,442.34629294384223,408.5315471224534,456.5434879671668,437.6318412493203,453.99992251831895,-1.5120592981630807,-48.01194084471342,-16.36808126899865
Canada,518.8357416265978,512.6551734094485,513.6382795971672,540.2400639105447,528.2315039122354,527.1560297339663,6.180568217149357,-26.601784313377493,1.0754741782691326
Chile,433.02461834156094,412.96426302308936,453.24215717111946,463.5925587738915,454.7550645388937,439.171519726939,20.06035531847158,-10.350401602772024,15.58354481195471
China,533.9867397396632,526.618176918628,484.9898208623133,503.42893209434635,522.3135541556486,513.0813249344925,7.368562821035198,-18.439111232033042,9.232229221156103
Colombia,395.95708239819845,384.1077680436755,416.2561157831056,432.537351264878,422.2007353771985,410.6492891679435,11.84931435452296,-16.2812354817724,11.551446209255005
Costa Rica,408.9483548802446,391.3138972619252,420.3943863418067,433.56510646295044,428.9898970285868,410.3472032736188,17.634457618319402,-13.170720121143745,18.642693754968036
